(5, 9),0.61764386891
(19, 22),0.139246284293
(5, 6),0.886589623149
(8, 9),0.551105244602
(13, 17),0.200824378403
(7, 11),0.443140258156
(2, 5),0.654479949848
(1, 2),0.336767519792
(4, 9),0.5364713887
(12, 13),0.228967944695
(6, 10),0.295961413441
(13, 16),0.432561096223
(27, 28),0.462717676167
(15, 16),0.371212400007
(18, 20),0.909239248196
(19, 21),0.560135455074
(17, 19),0.404534506157
(21, 26),0.668306533952
(22, 24),0.757674501538
(6, 11),0.665493629185
(23, 25),0.440977839024
(10, 13),0.557486048878
(9, 10),0.591374402282
(17, 22),0.633134285592
(22, 29),0.848649373004
(16, 19),0.881716617767
(3, 5),0.441083139046
(17, 18),0.302355845425
(20, 23),0.796651532736
(26, 27),0.488455571814
(10, 14),0.716664685046
(9, 12),0.314856796611
(22, 30),0.378002857294
